category,variants,assortment_share_pct,colors,median_sizes_per_variant,mean_sizes_per_variant,median_price,mean_price,max_price,priced_variants,discounted_variants,median_discount_pct,markdown_share_pct
Vestidos,173,29.47,14,5.0,4.786127167630058,1069.5,1310.4238095238095,2389.0,168,0,,0.0
Biquínis,110,18.74,17,4.0,4.118181818181818,118.0,190.65363636363637,1261.6,110,105,60.09,95.45
Bodies,52,8.86,9,4.0,4.076923076923077,649.0,680.6846153846153,1822.1,52,0,,0.0
Macacões,42,7.16,8,5.0,5.0,1489.0,1333.1487804878047,1889.0,41,0,,0.0
Croppeds,32,5.45,10,4.0,4.375,394.5,408.84375,859.0,32,0,,0.0
Blazers,28,4.77,7,5.5,5.071428571428571,1589.0,1416.3120000000001,2392.1,25,0,,0.0
Blusas,26,4.43,4,6.0,5.3076923076923075,989.0,1137.1217391304347,1879.1,23,0,,0.0
Calças,24,4.09,6,4.5,4.75,694.25,716.5416666666666,989.0,24,0,,0.0
Pareôs,23,3.92,10,4.0,2.6956521739130435,489.0,475.8695652173913,739.0,23,0,,0.0
Conjuntos,22,3.75,7,4.5,4.5,429.75,415.3636363636364,497.25,22,22,50.0,100.0
Saias,18,3.07,7,4.0,4.277777777777778,444.5,508.55555555555554,989.0,18,0,,0.0
Sem categoria,18,3.07,7,4.0,4.5,694.5,811.6222222222223,1822.1,18,0,,0.0
Shorts,10,1.7,4,4.0,4.5,372.0,430.95,689.0,10,0,,0.0
Saídas,8,1.36,4,4.0,3.75,594.5,693.125,989.0,8,0,,0.0
Sobretudos,1,0.17,1,4.0,4.0,1244.5,1244.5,1244.5,1,0,,0.0
