product,category,neighbor,neighbor_category,rank,similarity_pct,calibrated_similarity_pct,same_category,same_color,same_sizes,price_gap_pct,similarity_signal
Vestido Zephyr Off-White,Vestidos,Vestido Amida Off-White,Vestidos,2,99.87,100.0,True,True,True,5.03,VARIANT_LIKE
Biquíni Alann Preto,Biquínis,Biquíni Castillo Preto,Biquínis,1,99.91,100.0,True,True,True,5.17,VARIANT_LIKE
Vestido Walker Vermelho,Vestidos,Vestido Roland Vermelho,Vestidos,2,100.0,100.0,True,True,True,0.0,VARIANT_LIKE
Vestido Walker Vermelho,Vestidos,Vestido Salvi Vermelho,Vestidos,1,100.0,100.0,True,True,True,0.0,VARIANT_LIKE
Biquíni Arenella Preto,Biquínis,Biquíni Harper Preto,Biquínis,1,99.74,100.0,True,True,True,10.77,STRUCTURAL_NEIGHBOR
Biquíni Arenella Off-White,Biquínis,Biquíni Bardi Off-White,Biquínis,1,99.68,100.0,True,True,True,5.45,VARIANT_LIKE
Biquíni Alann Marrom,Biquínis,Biquíni Easton Marrom,Biquínis,1,98.44,100.0,True,True,True,5.17,VARIANT_LIKE
Saia Dorian Off-White,Saias,Saia Hazel Off-White,Saias,1,100.0,100.0,True,True,True,0.0,VARIANT_LIKE
Pareô Preto,Pareôs,Pareô Lenk Preto,Pareôs,1,100.0,100.0,True,True,True,2.0,VARIANT_LIKE
Vestido Hadid Preto,Vestidos,Vestido Barlett Preto,Vestidos,2,100.0,100.0,True,True,False,0.0,STRUCTURAL_NEIGHBOR
Vestido Hadid Preto,Vestidos,Vestido Forest Preto,Vestidos,1,100.0,100.0,True,True,False,0.0,STRUCTURAL_NEIGHBOR
Vestido Hadid Off-White,Vestidos,Vestido Barlett Off-White,Vestidos,2,100.0,100.0,True,True,False,0.0,STRUCTURAL_NEIGHBOR
Vestido Hadid Off-White,Vestidos,Vestido Forest Off-White,Vestidos,1,100.0,100.0,True,True,False,0.0,STRUCTURAL_NEIGHBOR
Vestido Gio Preto,Vestidos,Vestido Tricot Nau Preto,Vestidos,4,99.79,100.0,True,True,True,6.11,VARIANT_LIKE
Vestido Gio Preto,Vestidos,Vestido Forest Preto,Vestidos,3,99.84,100.0,True,True,True,5.92,VARIANT_LIKE
Vestido Gio Preto,Vestidos,Vestido Barlett Preto,Vestidos,2,99.84,100.0,True,True,True,5.92,VARIANT_LIKE
Vestido Gio Off-White,Vestidos,Vestido Tricot Murphy Preto com Off-White,Vestidos,5,99.83,100.0,True,True,True,5.59,VARIANT_LIKE
Biquíni Bercy Pérola,Biquínis,Biquíni Malawi Pérola,Biquínis,1,99.97,100.0,True,True,True,0.0,VARIANT_LIKE
Biquíni Bardi Preto,Biquínis,Biquíni Arenella Preto,Biquínis,1,99.68,100.0,True,True,True,5.45,VARIANT_LIKE
Biquíni Capanema Cobre,Biquínis,Biquíni Peter Cobre,Biquínis,2,99.57,100.0,True,True,True,1.69,VARIANT_LIKE
Biquíni Capanema Cobre,Biquínis,Biquíni Miller Cobre,Biquínis,1,99.75,100.0,True,True,False,0.0,STRUCTURAL_NEIGHBOR
Biquíni Bernie Off-White,Biquínis,Biquíni Marzan Off-White,Biquínis,1,99.96,100.0,True,True,True,4.55,VARIANT_LIKE
Vestido Vitalli Off-White,Vestidos,Vestido Vallez Off-White,Vestidos,2,100.0,100.0,True,True,True,0.43,VARIANT_LIKE
Vestido Vitalli Off-White,Vestidos,Vestido Rennie Off-White,Vestidos,1,100.0,100.0,True,True,True,0.0,VARIANT_LIKE
Biquíni Azov Preto,Biquínis,Biquíni Mies Preto,Biquínis,2,99.63,100.0,True,True,True,9.52,STRUCTURAL_NEIGHBOR
Biquíni Azov Preto,Biquínis,Biquíni Menorca Preto,Biquínis,1,99.73,100.0,True,True,True,0.0,VARIANT_LIKE
Biquíni Atticus Pérola,Biquínis,Biquíni Hali Pérola,Biquínis,5,99.08,100.0,True,True,True,4.55,VARIANT_LIKE
Biquíni Atticus Pérola,Biquínis,Biquíni Malawi Pérola,Biquínis,4,99.17,100.0,True,True,True,0.0,VARIANT_LIKE
Biquíni Atticus Pérola,Biquínis,Biquíni Julian Pérola,Biquínis,3,99.36,100.0,True,True,True,0.0,VARIANT_LIKE
Biquíni Atticus Pérola,Biquínis,Biquíni Eaton Pérola,Biquínis,2,99.7,100.0,True,True,True,5.17,VARIANT_LIKE
Biquíni Atticus Pérola,Biquínis,Biquíni Riva Pérola,Biquínis,1,99.92,100.0,True,True,True,8.33,STRUCTURAL_NEIGHBOR
Vestido Tucker Vermelho,Vestidos,Vestido Malmo Vermelho,Vestidos,3,99.84,100.0,True,True,True,5.29,VARIANT_LIKE
Vestido Tucker Vermelho,Vestidos,Vestido Harpa Vermelho,Vestidos,2,99.84,100.0,True,True,True,5.29,VARIANT_LIKE
Vestido Tucker Vermelho,Vestidos,Vestido Cowden Vermelho,Vestidos,1,100.0,100.0,True,True,True,0.0,VARIANT_LIKE
Vestido Tucker Off-White,Vestidos,Vestido Riccie Off-White,Vestidos,3,99.84,100.0,True,True,True,5.29,VARIANT_LIKE
Vestido Tucker Off-White,Vestidos,Vestido Malmo Off-White,Vestidos,2,99.84,100.0,True,True,True,5.29,VARIANT_LIKE
Vestido Tucker Off-White,Vestidos,Vestido Cowden Off-White,Vestidos,1,100.0,100.0,True,True,True,0.0,VARIANT_LIKE
Vestido Tricot Nau Vermelho,Vestidos,Vestido Salk Vermelho,Vestidos,2,99.79,100.0,True,True,True,6.11,VARIANT_LIKE
