category,variants,assortment_share_pct,colors,median_sizes_per_variant,mean_sizes_per_variant,median_price,mean_price,max_price,priced_variants,discounted_variants,median_discount_pct,markdown_share_pct,assortment_importance,price_position,markdown_pressure,size_depth,color_diversity,promotional_exposure,strategic_score,archetype,recommendation
Vestidos,173,29.47,14,5.0,4.786127167630058,1069.5,1310.4238095238095,2389.0,168,0,,0.0,100.0,80.0,46.666666666666664,83.33333333333334,93.33333333333333,46.66666666666667,84.5,PREMIUM_CORE,"Proteger margem e percepção de valor; priorizar storytelling, disponibilidade de grade e monitoramento de ruptura."
Macacões,42,7.16,8,5.0,5.0,1489.0,1333.1487804878047,1889.0,41,0,,0.0,80.0,93.33333333333333,46.666666666666664,83.33333333333334,66.66666666666666,46.66666666666667,77.8,PREMIUM_CORE,"Proteger margem e percepção de valor; priorizar storytelling, disponibilidade de grade e monitoramento de ruptura."
Blazers,28,4.77,7,5.5,5.071428571428571,1589.0,1416.3120000000001,2392.1,25,0,,0.0,66.66666666666666,100.0,46.666666666666664,93.33333333333333,50.0,46.66666666666667,74.5,NICHE_PREMIUM,"Tratar como nicho de alto valor; testar exposição seletiva, clienteling e cross-sell sem desconto indiscriminado."
Bodies,52,8.86,9,4.0,4.076923076923077,649.0,680.6846153846153,1822.1,52,0,,0.0,86.66666666666667,53.333333333333336,46.666666666666664,33.33333333333333,73.33333333333333,46.66666666666667,63.3,CORE_ASSORTMENT,"Monitorar amplitude, diversidade e produtividade futura quando vendas internas estiverem disponíveis."
Blusas,26,4.43,4,6.0,5.3076923076923075,989.0,1137.1217391304347,1879.1,23,0,,0.0,60.0,73.33333333333333,46.666666666666664,100.0,20.0,46.66666666666667,62.3,WATCHLIST,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal."
Calças,24,4.09,6,4.5,4.75,694.25,716.5416666666666,989.0,24,0,,0.0,53.333333333333336,60.0,46.666666666666664,70.0,33.33333333333333,46.66666666666667,54.5,WATCHLIST,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal."
Croppeds,32,5.45,10,4.0,4.375,394.5,408.84375,859.0,32,0,,0.0,73.33333333333333,20.0,46.666666666666664,33.33333333333333,83.33333333333334,46.66666666666667,52.5,CORE_ASSORTMENT,"Monitorar amplitude, diversidade e produtividade futura quando vendas internas estiverem disponíveis."
Biquínis,110,18.74,17,4.0,4.118181818181818,118.0,190.65363636363637,1261.6,110,105,60.09,95.45,93.33333333333333,6.666666666666667,96.0,33.33333333333333,100.0,97.80000000000001,50.0,PROMOTION_PRESSURE,Investigar causa da pressão promocional antes de ampliar compras; monitorar profundidade de markdown e cobertura de grade.
Pareôs,23,3.92,10,4.0,2.6956521739130435,489.0,475.8695652173913,739.0,23,0,,0.0,46.666666666666664,40.0,46.666666666666664,33.33333333333333,83.33333333333334,46.66666666666667,49.5,WATCHLIST,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal."
Sem categoria,18,3.07,7,4.0,4.5,694.5,811.6222222222223,1822.1,18,0,,0.0,30.0,66.66666666666666,46.666666666666664,33.33333333333333,50.0,46.66666666666667,46.2,WATCHLIST,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal."
Saias,18,3.07,7,4.0,4.277777777777778,444.5,508.55555555555554,989.0,18,0,,0.0,30.0,33.33333333333333,46.666666666666664,33.33333333333333,50.0,46.66666666666667,37.8,LONG_TAIL,Revisar papel estratégico no mix e evitar complexidade excessiva sem evidência de contribuição.
Sobretudos,1,0.17,1,4.0,4.0,1244.5,1244.5,1244.5,1,0,,0.0,6.666666666666667,86.66666666666667,46.666666666666664,33.33333333333333,6.666666666666667,46.66666666666667,37.7,NICHE_PREMIUM,"Tratar como nicho de alto valor; testar exposição seletiva, clienteling e cross-sell sem desconto indiscriminado."
Conjuntos,22,3.75,7,4.5,4.5,429.75,415.3636363636364,497.25,22,22,50.0,100.0,40.0,26.666666666666668,97.33333333333334,70.0,50.0,95.53333333333335,37.3,PROMOTION_PRESSURE,Investigar causa da pressão promocional antes de ampliar compras; monitorar profundidade de markdown e cobertura de grade.
Saídas,8,1.36,4,4.0,3.75,594.5,693.125,989.0,8,0,,0.0,13.333333333333334,46.666666666666664,46.666666666666664,33.33333333333333,20.0,46.66666666666667,31.7,WATCHLIST,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal."
Shorts,10,1.7,4,4.0,4.5,372.0,430.95,689.0,10,0,,0.0,20.0,13.333333333333334,46.666666666666664,33.33333333333333,20.0,46.66666666666667,25.3,LONG_TAIL,Revisar papel estratégico no mix e evitar complexidade excessiva sem evidência de contribuição.
