color,variants,share_pct
Preto,175,29.81
Off White,159,27.09
Vermelho,62,10.56
Pérola,33,5.62
Azul,22,3.75
Marrom,21,3.58
Cobre,14,2.39
Bege,11,1.87
Avelã,11,1.87
Azul Marinho,8,1.36
Azul Índigo,8,1.36
Caramelo,8,1.36
Rosê,7,1.19
Sem cor,6,1.02
Framboesa,6,1.02
Castanho,5,0.85
Fúcsia,5,0.85
Vermelho Carmim,4,0.68
Pink,4,0.68
Terracota,3,0.51
Pink Juice,3,0.51
Azul Turquesa,2,0.34
Paetê Dourado,2,0.34
Vanilla,2,0.34
Bronze,1,0.17
Azul Nilo,1,0.17
Magenta,1,0.17
Areia,1,0.17
Branco,1,0.17
Paetê Prateado,1,0.17
