product,category,neighbor,neighbor_category,rank,similarity_pct
Vestido Walker Off-White,Vestidos,Vestido Salvi Off-White,Vestidos,1,100.0
Vestido Zephyr Off-White,Vestidos,Vestido Tess Off-White,Vestidos,1,100.0
Vestido Walker Framboesa,Vestidos,Vestido Fontaine Framboesa,Vestidos,1,100.0
Vestido Vitalli Off-White,Vestidos,Vestido Vallez Off-White,Vestidos,2,100.0
Vestido Vitalli Off-White,Vestidos,Vestido Rennie Off-White,Vestidos,1,100.0
Vestido Vallez Off-White,Vestidos,Vestido Rennie Off-White,Vestidos,1,100.0
Vestido Tucker Vermelho,Vestidos,Vestido Cowden Vermelho,Vestidos,1,100.0
Vestido Tucker Off-White,Vestidos,Vestido Cowden Off-White,Vestidos,1,100.0
Vestido Tricot Nau Vermelho,Vestidos,Vestido Tricot Murphy Vermelho,Vestidos,1,100.0
Vestido Tricot Nau Avelã,Vestidos,Vestido Tricot Murphy Avelã,Vestidos,1,100.0
Blusa Percy Off-White,Blusas,Blusa Alexis Off-White,Blusas,1,100.0
BLUSA PERCY OFF-WHITE + CALÇA JEANS MALCOLM AZUL CLARO,Blusas,BLUSA ALEXIS OFF-WHITE + CALÇA JEANS MALCOLM AZUL ESCURO,Blusas,1,100.0
Blazer Vestido Schiffer Off-White,Blazers,Blazer Vestido Agatha Off-White,Blazers,1,100.0
Blazer Vestido Schiffer Preto,Blazers,Blazer Vestido Agatha Preto,Blazers,1,100.0
Blazer Vestido Schiffer Preto,Blazers,Blazer Adonis Preto,Blazers,2,100.0
Blazer Vestido Vincent Preto,Blazers,Blazer Vestido Darleen Preto,Blazers,1,100.0
BLUSA PERCY PRETA + CALÇA JEANS MALCOLM AZUL ESCURO,Blusas,BLUSA ALEXIS PRETA + CALÇA JEANS MALCOLM AZUL ESCURO,Blusas,1,100.0
Blusa Percy Preto,Blusas,Blusa Alexis Preto,Blusas,1,100.0
Blusa Tommaso Preto,Blusas,Blusa Cesare Preto,Blusas,1,100.0
Body Bonnie Pérola,Bodies,Body Darius Pérola,Bodies,1,100.0
Vestido Riccie Off-White,Vestidos,Vestido Malmo Off-White,Vestidos,1,100.0
Vestido Rizzo Preto,Vestidos,Vestido Linho Reyes Preto,Vestidos,1,100.0
Vestido Rizzo Preto,Vestidos,Vestido Azarius Preto,Vestidos,2,100.0
Vestido Rizzo Preto,Vestidos,Vestido Linho Masp Preto,Vestidos,3,100.0
Vestido Rizzo Vermelho,Vestidos,Vestido Azarius Vermelho,Vestidos,1,100.0
Vestido Roland Off-White,Vestidos,Vestido Salvi Off-White,Vestidos,1,100.0
Vestido Roland Off-White,Vestidos,Vestido Fontaine Off-White,Vestidos,2,100.0
Vestido Roland Off-White,Vestidos,Vestido Walker Off-White,Vestidos,3,100.0
Vestido Roland Preto,Vestidos,Vestido Salvi Preto,Vestidos,1,100.0
Vestido Roland Preto,Vestidos,Vestido Fontaine Preto,Vestidos,2,100.0
Vestido Roland Preto,Vestidos,Vestido Walker Preto,Vestidos,3,100.0
Vestido Roland Vermelho,Vestidos,Vestido Walker Vermelho,Vestidos,1,100.0
Vestido Roland Vermelho,Vestidos,Vestido Salvi Vermelho,Vestidos,2,100.0
Vestido Roland Vermelho,Vestidos,Vestido Fontaine Vermelho,Vestidos,3,100.0
Vestido Ludwig Preto,Vestidos,Vestido Jones Preto,Vestidos,1,100.0
Vestido Ludwig Preto,Vestidos,Vestido Dylan Preto,Vestidos,2,100.0
Vestido Ludwig Vermelho,Vestidos,Vestido Jones Vermelho,Vestidos,1,100.0
Vestido Ludwig Vermelho,Vestidos,Vestido Dylan Vermelho,Vestidos,2,100.0
Vestido Malmo Preto,Vestidos,Vestido Harpa Preto,Vestidos,1,100.0
Vestido Malmo Vermelho,Vestidos,Vestido Harpa Vermelho,Vestidos,1,100.0
Vestido Perot Vermelho,Vestidos,Vestido Reidy Vermelho,Vestidos,1,100.0
Vestido Linho Reyes Preto,Vestidos,Vestido Azarius Preto,Vestidos,1,100.0
