category,variants,median_price,mean_price,min_price,max_price,discounted_pct,median_discount_pct
Blazers,25,1589.0,1416.31,494.5,2392.1,0.0,
Macacões,41,1489.0,1333.15,644.5,1889.0,0.0,
Sobretudos,1,1244.5,1244.5,1244.5,1244.5,0.0,
Vestidos,168,1069.5,1310.42,494.5,2389.0,0.0,
Blusas,23,989.0,1137.12,345.0,1879.1,0.0,
Sem categoria,18,694.5,811.62,479.5,1822.1,0.0,
Calças,24,694.25,716.54,394.5,989.0,0.0,
Bodies,52,649.0,680.68,239.5,1822.1,0.0,
Saídas,8,594.5,693.12,594.5,989.0,0.0,
Pareôs,23,489.0,475.87,269.5,739.0,0.0,
Saias,18,444.5,508.56,264.5,989.0,0.0,
Conjuntos,22,429.75,415.36,247.25,497.25,100.0,50.0
Croppeds,32,394.5,408.84,89.5,859.0,0.0,
Shorts,10,372.0,430.95,344.5,689.0,0.0,
Biquínis,110,118.0,190.65,95.0,1261.6,95.45,60.09
