product,category,neighbor,neighbor_category,rank,similarity_pct
Biquíni Alann Marrom,Biquínis,Biquíni Easton Marrom,Biquínis,1,98.44
Biquíni Alann Marrom,Biquínis,Biquíni Landon Marrom,Biquínis,2,96.25
Biquíni Alann Marrom,Biquínis,Biquíni Alann Pérola,Biquínis,3,93.64
Biquíni Alann Marrom,Biquínis,Biquíni Alann Preto,Biquínis,4,93.64
Biquíni Alann Marrom,Biquínis,Biquíni Castillo Preto,Biquínis,5,93.29
Biquíni Alann Marrom,Biquínis,Biquíni Castillo Off-White,Biquínis,6,93.29
Biquíni Alann Pérola,Biquínis,Biquíni Bonneville Pérola,Biquínis,1,99.12
Biquíni Alann Pérola,Biquínis,Biquíni Vitto Pérola,Biquínis,2,98.1
Biquíni Alann Pérola,Biquínis,Biquíni Landon Pérola,Biquínis,3,96.25
Biquíni Alann Pérola,Biquínis,Biquíni Alann Marrom,Biquínis,4,93.64
Biquíni Alann Pérola,Biquínis,Biquíni Alann Preto,Biquínis,5,93.64
Biquíni Alann Pérola,Biquínis,Biquíni Finca Pérola,Biquínis,6,93.58
Biquíni Alann Preto,Biquínis,Biquíni Castillo Preto,Biquínis,1,99.91
Biquíni Alann Preto,Biquínis,Biquíni Bonneville Preto,Biquínis,2,99.12
Biquíni Alann Preto,Biquínis,Biquíni Easton Preto,Biquínis,3,98.44
Biquíni Alann Preto,Biquínis,Biquíni Vitto Preto,Biquínis,4,98.1
Biquíni Alann Preto,Biquínis,Biquíni Taut Preto,Biquínis,5,96.75
Biquíni Alann Preto,Biquínis,Biquíni Landon Preto,Biquínis,6,96.25
Biquíni Alessio Castanho,Biquínis,Biquíni Vince Castanho,Biquínis,1,98.73
Biquíni Alessio Castanho,Biquínis,Biquíni Mark Castanho,Biquínis,2,98.62
Biquíni Alessio Castanho,Biquínis,Biquíni Conti Castanho,Biquínis,3,98.47
Biquíni Alessio Castanho,Biquínis,Biquíni Perez Castanho,Biquínis,4,92.8
Biquíni Alessio Castanho,Biquínis,Biquíni Alessio Preto,Biquínis,5,86.12
