product_key,product_base,collection,category,variant_count,colors,public_pages
1,BIQUÍNI EASTON + PAREÔ GRAZIA |,VERÃO 2027,Biquínis,1,Preto,1
2,BIQUÍNI EASTON + PAREÔ |,VERÃO 2027,Biquínis,1,Marrom,1
3,BIQUÍNI EASTON + PAREÔ | OFF-WHITE,VERÃO 2027,Biquínis,1,Off White,1
4,BIQUÍNI VITTO + PAREÔ GRAZIA |,VERÃO 2027,Biquínis,1,Pérola,1
5,BIQUÍNI VITTO + PAREÔ |,VERÃO 2027,Biquínis,1,Preto,1
6,BLAZER CARMINE + PANTALONA SAVOYE |,VERÃO 2027,Blazers,1,Preto,1
7,BLAZER CARMINE + PANTALONA SAVOYE | OFF-WHITE,VERÃO 2027,Blazers,1,Off White,1
8,BLAZER CARMINE CARAMELO + CALÇA JEANS MALCOLM AZUL CLARO,VERÃO 2027,Blazers,1,Caramelo,1
9,BLAZER DONATO + PANTALONA SAVOYE,VERÃO 2027,Blazers,1,Preto,1
10,BLAZER DONATO + PANTALONA SAVOYE OFF-WHITE,VERÃO 2027,Blazers,1,Off White,1
11,BLAZER DONATO MARROM + PANTALONA SAVOYE OFF-WHITE,VERÃO 2027,Blazers,1,Off White,1
12,BLUSA ALEXIS OFF-WHITE + CALÇA JEANS MALCOLM AZUL ESCURO,VERÃO 2027,Blusas,1,Off White,1
13,BLUSA ALEXIS PRETA + CALÇA JEANS MALCOLM AZUL ESCURO,VERÃO 2027,Blusas,1,Azul,1
14,BLUSA CESARE + SAIA RILEY | OFF-WHITE,VERÃO 2027,Blusas,1,Off White,1
15,BLUSA MAYFAR + PANTALONA SAVOYE | OFF-WHITE,VERÃO 2027,Blusas,1,Off White,1
16,BLUSA PERCY + SAIA REMMY |,VERÃO 2027,Blusas,1,Preto,1
17,BLUSA PERCY OFF-WHITE + CALÇA JEANS MALCOLM AZUL CLARO,VERÃO 2027,Blusas,1,Off White,1
18,BLUSA PERCY PRETA + CALÇA JEANS MALCOLM AZUL ESCURO,VERÃO 2027,Blusas,1,Azul,1
19,BLUSA TOMMASO + SAIA RILEY |,VERÃO 2027,Blusas,1,Preto,1
20,BLUSA TOMMASO + SHORT CALEB | OFF-WHITE,VERÃO 2027,Blusas,1,Off White,1
21,BLUSA ZENO + CALÇA ZENO |,VERÃO 2027,Blusas,1,Preto,1
22,BLUSA ZENO + CALÇA ZENO | OFF-WHITE,VERÃO 2027,Blusas,1,Off White,1
23,BODY CHIARA + PANTALONA SAVOYE | OFF-WHITE,VERÃO 2027,Bodies,1,Off White,1
24,BODY EMMA + PANTALONA BRAXTON |,VERÃO 2027,Bodies,1,Preto,1
25,BODY EMMA + PANTALONA BRAXTON | OFF-WHITE,VERÃO 2027,Bodies,1,Off White,1
26,BODY EMMA + SHORT CALEB |,VERÃO 2027,Bodies,1,Preto,1
27,BODY ROCCO + PANTALONA FLARE |,VERÃO 2027,Bodies,1,Preto,1
28,BODY ROCCO + PANTALONA FLARE | OFF-WHITE,VERÃO 2027,Bodies,1,Off White,1
29,Biquíni Alann,VERÃO 2027,Biquínis,3,Marrom|Preto|Pérola,3
30,Biquíni Alessio,VERÃO 2027,Biquínis,3,Castanho|Preto|Vermelho Carmim,3
31,Biquíni Arenella,VERÃO 2027,Biquínis,3,Azul Marinho|Preto|Rosê,3
32,Biquíni Arenella Off-White,VERÃO 2027,Biquínis,1,Off White,1
33,Biquíni Atticus,VERÃO 2027,Biquínis,2,Pérola|Terracota,2
34,Biquíni Azov,VERÃO 2027,Biquínis,1,Preto,1
35,Biquíni Bardi,VERÃO 2027,Biquínis,2,Cobre|Preto,2
36,Biquíni Bardi Off-White,VERÃO 2027,Biquínis,1,Off White,1
37,Biquíni Bercy,VERÃO 2027,Biquínis,2,Preto|Pérola,2
38,Biquíni Bernie Off-White,VERÃO 2027,Biquínis,1,Off White,1
39,Biquíni Bonneville,VERÃO 2027,Biquínis,2,Preto|Pérola,2
40,Biquíni Capanema,VERÃO 2027,Biquínis,3,Cobre|Preto|Pérola,3
41,Biquíni Castillo,VERÃO 2027,Biquínis,2,Preto|Terracota,2
42,Biquíni Castillo Off-White,VERÃO 2027,Biquínis,1,Off White,1
43,Biquíni Clark,VERÃO 2027,Biquínis,1,Fúcsia,1
44,Biquíni Conti,VERÃO 2027,Biquínis,3,Castanho|Pérola|Vermelho Carmim,3
45,Biquíni Cyprus,VERÃO 2027,Biquínis,2,Azul Turquesa|Fúcsia,2
46,Biquíni Cyprus Off-White,VERÃO 2027,Biquínis,1,Off White,1
47,Biquíni Dion,VERÃO 2027,Biquínis,1,Preto,1
48,Biquíni Duncan,VERÃO 2027,Biquínis,2,Azul|Cobre,2
49,Biquíni Easton,VERÃO 2027,Biquínis,3,Azul Marinho|Marrom|Preto,3
50,Biquíni Easton Off-White,VERÃO 2027,Biquínis,1,Off White,1
51,Biquíni Eaton,VERÃO 2027,Biquínis,3,Cobre|Preto|Pérola,3
52,Biquíni Finca,VERÃO 2027,Biquínis,3,Preto|Pérola|Vermelho,3
53,Biquíni Galea,VERÃO 2027,Biquínis,2,Azul Índigo|Preto,2
54,Biquíni Hali,VERÃO 2027,Biquínis,3,Azul Índigo|Preto|Pérola,3
55,Biquíni Harper,VERÃO 2027,Biquínis,2,Preto|Pérola,2
56,Biquíni Hess,VERÃO 2027,Biquínis,1,Pérola,1
57,Biquíni Julian,VERÃO 2027,Biquínis,3,Bronze|Preto|Pérola,3
58,Biquíni Kobe,VERÃO 2027,Biquínis,5,Azul|Cobre|Preto|Pérola|Vermelho,5
59,Biquíni Landon,VERÃO 2027,Biquínis,3,Marrom|Preto|Pérola,3
60,Biquíni Lorian,VERÃO 2027,Biquínis,1,Preto,1
61,Biquíni Lorian Off-White,VERÃO 2027,Biquínis,1,Off White,1
62,Biquíni Lusty,VERÃO 2027,Biquínis,1,Fúcsia,1
63,Biquíni Malawi,VERÃO 2027,Biquínis,1,Pérola,1
64,Biquíni Mark,VERÃO 2027,Biquínis,4,Azul Índigo|Castanho|Preto|Pérola,4
65,Biquíni Marzan,VERÃO 2027,Biquínis,1,Preto,1
66,Biquíni Marzan Off-White,VERÃO 2027,Biquínis,1,Off White,1
67,Biquíni Menorca,VERÃO 2027,Biquínis,2,Azul Marinho|Preto,2
68,Biquíni Mies,VERÃO 2027,Biquínis,2,Azul Turquesa|Preto,2
69,Biquíni Mies Off-White,VERÃO 2027,Biquínis,1,Off White,1
70,Biquíni Miller,VERÃO 2027,Biquínis,4,Azul Nilo|Cobre|Preto|Vermelho,4
71,Biquíni Nari Off-White,VERÃO 2027,Biquínis,1,Off White,1
72,Biquíni Perez,VERÃO 2027,Biquínis,4,Azul Índigo|Castanho|Preto|Pérola,4
73,Biquíni Peter,VERÃO 2027,Biquínis,2,Cobre|Preto,2
74,Biquíni Riva,VERÃO 2027,Biquínis,3,Azul Índigo|Preto|Pérola,3
75,Biquíni Sopka Off-White,VERÃO 2027,Biquínis,1,Off White,1
76,Biquíni Taut,VERÃO 2027,Biquínis,1,Preto,1
77,Biquíni Taut Off-White,VERÃO 2027,Biquínis,1,Off White,1
78,Biquíni Vince,VERÃO 2027,Biquínis,4,Castanho|Preto|Pérola|Vermelho Carmim,4
79,Biquíni Vitto,VERÃO 2027,Biquínis,3,Azul Marinho|Preto|Pérola,3
80,Blazer Adonis,VERÃO 2027,Blazers,1,Preto,1
81,Blazer Alvar,VERÃO 2027,Blazers,1,Azul Índigo,1
82,Blazer Carmine,VERÃO 2027,Blazers,2,Caramelo|Preto,2
83,Blazer Carmine Off-White,VERÃO 2027,Blazers,1,Off White,1
84,Blazer Corrington,VERÃO 2027,Blazers,1,Preto,1
85,Blazer Linho Fruges,VERÃO 2027,Blazers,2,Caramelo|Preto,2
86,Blazer Vestido Agatha,VERÃO 2027,Blazers,2,Bege|Preto,2
87,Blazer Vestido Agatha Off-White,VERÃO 2027,Blazers,1,Off White,1
88,Blazer Vestido Alec,VERÃO 2027,Blazers,1,Preto,1
89,Blazer Vestido Darleen,VERÃO 2027,Blazers,2,Marrom|Preto,2
90,Blazer Vestido Dustin,VERÃO 2027,Blazers,2,Preto|Vermelho,2
91,Blazer Vestido Dustin Off-White,VERÃO 2027,Blazers,1,Off White,1
92,Blazer Vestido Schiffer,VERÃO 2027,Blazers,1,Preto,1
93,Blazer Vestido Schiffer Off-White,VERÃO 2027,Blazers,1,Off White,1
94,Blazer Vestido Vincent,VERÃO 2027,Blazers,2,Caramelo|Preto,2
95,Blazer Vestido Vincent Off-White,VERÃO 2027,Blazers,1,Off White,1
96,Blusa Alexis,VERÃO 2027,Blusas,1,Preto,1
97,Blusa Alexis Off-White,VERÃO 2027,Blusas,1,Off White,1
98,Blusa Alpheus,VERÃO 2027,Blusas,1,Preto,1
99,Blusa Alpheus Off-White,VERÃO 2027,Blusas,1,Off White,1
100,Blusa Cesare,VERÃO 2027,Blusas,1,Preto,1
101,Blusa Mayfar,VERÃO 2027,Blusas,2,Bege|Preto,2
102,Blusa Mayfar Off-White,VERÃO 2027,Blusas,1,Off White,1
