product_id,name,category,color,sizes,size_count,size_coverage_score,url
4070,Corselet Adrian Framboesa,,Framboesa,36|38|40|42,4,0.0,https://www.intibrand.com/produto/corselet-adrian-framboesa-4070
4067,Corselet Adrian Off-White,,Off White,36|38|40|42,4,0.0,https://www.intibrand.com/produto/corselet-adrian-off-white-4067
4068,Corselet Adrian Preto,,Preto,36|38|40|42,4,0.0,https://www.intibrand.com/produto/corselet-adrian-preto-4068
4069,Corselet Adrian Vermelho,,Vermelho,36|38|40|42,4,0.0,https://www.intibrand.com/produto/corselet-adrian-vermelho-4069
4637,Corselet Kimbell Off-White,,Off White,36|38|40|42,4,0.0,https://www.intibrand.com/produto/corselet-kimbell-off-white-4637
4121,Corselet Vicenzo Vanilla,,Vanilla,36|38|40|42,4,0.0,https://www.intibrand.com/produto/corselet-vicenzo-vanilla-4121
4652,Macaquinho Evans Bege,,Bege,36|38|40|42,4,0.0,https://www.intibrand.com/produto/macaquinho-evans-bege-4652
4651,Macaquinho Evans Preto,,Preto,36|38|40|42,4,0.0,https://www.intibrand.com/produto/macaquinho-evans-preto-4651
4580,Macaquinho Linho Tau Bege,,Bege,36|38|40|42,4,0.0,https://www.intibrand.com/produto/macaquinho-linho-tau-bege-4580
4578,Macaquinho Linho Tau Off-White,,Off White,36|38|40|42,4,0.0,https://www.intibrand.com/produto/macaquinho-linho-tau-off-white-4578
4579,Macaquinho Linho Tau Preto,,Preto,36|38|40|42,4,0.0,https://www.intibrand.com/produto/macaquinho-linho-tau-preto-4579
4567,Macaquinho Martin Off-White,,Off White,36|38|40|42,4,0.0,https://www.intibrand.com/produto/macaquinho-martin-off-white-4567
4910,Corselet Steven Marrom,,Marrom,34|36|38|40|42,5,0.0,https://www.intibrand.com/produto/corselet-steven-marrom-4910
4908,Corselet Steven Off-White,,Off White,34|36|38|40|42,5,0.0,https://www.intibrand.com/produto/corselet-steven-off-white-4908
4909,Corselet Steven Preto,,Preto,34|36|38|40|42,5,0.0,https://www.intibrand.com/produto/corselet-steven-preto-4909
4926,CORSELET KIMBELL + PANTALONA SAVOYE | OFF-WHITE,,Off White,36|38|40|42|34|44,6,0.0,https://www.intibrand.com/produto/corselet-kimbell-pantalona-savoye-off-white-4926
4925,CORSELET KIMBELL + PANTALONA SAVOYE | PRETO,,Preto,34|36|38|40|42|44,6,0.0,https://www.intibrand.com/produto/corselet-kimbell-pantalona-savoye-preto-4925
