week,sku,product,color,size,price,units_sold,ending_stock
2025-09-01,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,41
2025-09-08,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,34
2025-09-15,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,9,25
2025-09-22,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,18
2025-09-29,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,11
2025-10-06,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,4
2025-10-13,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,8,0
2025-10-20,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,0
2025-10-27,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,0
2025-11-03,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,5,0
2025-11-10,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,0
2025-11-17,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,10,22
2025-11-24,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,16
2025-12-01,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,9,7
2025-12-08,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,27
2025-12-15,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,21
2025-12-22,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,14
2025-12-29,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,10,4
2026-01-05,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,0
2026-01-12,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,5,0
2026-01-19,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,12,0
2026-01-26,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,4,0
2026-02-02,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,25
2026-02-09,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,19
2026-02-16,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,12
2026-02-23,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,6
2026-03-02,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,0
2026-03-09,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,1,0
2026-03-16,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,8,0
2026-03-23,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,22
2026-03-30,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,3,19
2026-04-06,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,3,16
2026-04-13,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,1,15
2026-04-20,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,1,14
2026-04-27,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,3,11
2026-05-04,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,4,32
2026-05-11,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,3,29
2026-05-18,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,1,28
2026-05-25,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,3,25
2026-06-01,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,9,16
2026-06-08,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,6,10
2026-06-15,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,3,7
2026-06-22,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,4,3
2026-06-29,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,8,16
2026-07-06,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,4,12
2026-07-13,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,2,10
2026-07-20,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,8,2
2026-07-27,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,3,0
2026-08-03,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,7,28
2026-08-10,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,5,23
2026-08-17,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,5,18
2026-08-24,VEST-SALVI-PRE-34,Vestido Salvi,Preto,34,1499.0,9,9
2025-09-01,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,18,0
2025-09-08,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,13,0
2025-09-15,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,14,0
2025-09-22,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,16,0
2025-09-29,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,12,0
2025-10-06,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,17,0
2025-10-13,VEST-SALVI-PRE-36,Vestido Salvi,Preto,36,1499.0,19,0
